TicketID|LicensePlate|VehicleType|SlotID|TimeIn
TICK-ACT-0021|30F99922|CAR|F1-S8|2026-08-11T09:30
TICK-ACT-0022|51H77733|CAR|F1-S9|2026-08-11T11:45
TICK-ACT-0020|30A88811|CAR|F1-S7|2026-08-11T07:15
TICK-ACT-0003|33V12345|MOTORBIKE|F3-S1|2026-08-10T15:06
TICK-ACT-0004|44D12345|EV|F2-S2|2026-08-10T15:07
TICK-ACT-0001|60C12345|EV|F2-S1|2026-08-10T15:02
TICK-ACT-0023|29A66644|CAR|F1-S10|2026-08-11T14:20
TICK-ACT-0002|91F12345|CAR|F1-S1|2026-08-10T15:05
TICK-ACT-0024|14A88855|CAR|F2-S8|2026-08-11T16:05
TICK-ACT-0007|51H33333|CAR|F1-S4|2026-08-10T15:12
TICK-ACT-0008|29A44444|CAR|F1-S5|2026-08-10T15:13
TICK-ACT-0005|30A11111|CAR|F1-S2|2026-08-10T15:10
TICK-ACT-0006|30F22222|CAR|F1-S3|2026-08-10T15:11
TICK-ACT-0009|14A55555|CAR|F1-S6|2026-08-10T15:14
TICK-ACT-0010|30E12345|EV|F2-S3|2026-08-10T15:15
TICK-ACT-0011|29E67890|EV|F2-S4|2026-08-10T15:16
TICK-ACT-0014|99E77889|EV|F2-S7|2026-08-10T15:19
TICK-ACT-0015|29B112345|MOTORBIKE|F3-S2|2026-08-10T15:20
TICK-ACT-0012|51E11223|EV|F2-S5|2026-08-10T15:17
TICK-ACT-0013|43E44556|EV|F2-S6|2026-08-10T15:18
TICK-ACT-0018|75F122222|MOTORBIKE|F3-S5|2026-08-10T15:23
TICK-ACT-0019|43D133333|MOTORBIKE|F3-S6|2026-08-10T15:24
TICK-ACT-0016|30H167890|MOTORBIKE|F3-S3|2026-08-10T15:21
TICK-ACT-0017|51S211111|MOTORBIKE|F3-S4|2026-08-10T15:22
