TICKETID|LICENSEPLATE|VEHICLETYPE|SLOTID|TIMEIN|TIMEOUT|TOTALFEE
TX-2026-001|29A12345|CAR|F1-S1|2026-08-01T08:00:00|2026-08-01T12:30:00|15000.0
TX-2026-002|51Z77890|MOTORBIKE|F1-S2|2026-08-01T14:15:00|2026-08-01T16:45:00|10000.0
TX-2026-003|60C12345|EV|F1-S3|2026-08-02T09:00:00|2026-08-02T13:00:00|20000.0
TX-2026-004|91F12345|CAR|F1-S5|2026-08-02T07:30:00|2026-08-02T11:45:00|15000.0
TX-2026-005|33V12345|MOTORBIKE|F1-S6|2026-08-03T12:20:00|2026-08-03T14:40:00|10000.0
TX-2026-006|44D12345|EV|F1-S7|2026-08-03T06:00:00|2026-08-03T09:15:00|20000.0
TX-2026-007|51H12345|CAR|F1-S10|2026-08-04T08:00:00|2026-08-04T11:20:00|15000.0
TX-2026-008|29A12346|CAR|F2-S1|2026-08-04T09:00:00|2026-08-04T13:00:00|15000.0
TX-2026-009|51Z77891|MOTORBIKE|F2-S2|2026-08-05T14:15:00|2026-08-05T16:45:00|10000.0
TX-2026-010|60C12346|EV|F2-S3|2026-08-05T12:00:00|2026-08-05T17:00:00|20000.0
TX-2026-011|91F12346|CAR|F2-S5|2026-08-06T08:30:00|2026-08-06T12:10:00|15000.0
TX-2026-012|33V12346|MOTORBIKE|F2-S6|2026-08-06T13:00:00|2026-08-06T15:45:00|10000.0
TX-2026-013|44D12346|EV|F2-S7|2026-08-07T09:35:00|2026-08-07T12:40:00|20000.0
TX-2026-014|51H12346|CAR|F2-S10|2026-08-07T21:05:00|2026-08-07T23:30:00|15000.0
TX-2026-015|30A12345|CAR|F3-S1|2026-08-08T07:15:00|2026-08-08T10:30:00|15000.0
TX-2026-016|59X31234|MOTORBIKE|F3-S2|2026-08-08T11:00:00|2026-08-08T15:00:00|10000.0
TX-2026-017|15A67890|EV|F3-S3|2026-08-08T16:00:00|2026-08-08T19:30:00|20000.0
TX-2026-018|43A56789|CAR|F3-S4|2026-08-09T08:00:00|2026-08-09T11:30:00|15000.0
TX-2026-019|29D18888|MOTORBIKE|F3-S5|2026-08-09T13:20:00|2026-08-09T17:10:00|10000.0
TX-2026-020|36A34567|CAR|F1-S8|2026-08-09T18:00:00|2026-08-09T22:00:00|15000.0
TX-2026-021|51H88888|EV|F1-S9|2026-08-10T07:00:00|2026-08-10T12:00:00|20000.0
TX-2026-022|30F11111|CAR|F2-S11|2026-08-10T10:15:00|2026-08-10T14:30:00|15000.0
TX-2026-023|79A22222|MOTORBIKE|F2-S12|2026-08-10T15:00:00|2026-08-10T18:20:00|10000.0
TX-2026-024|14A33333|EV|F2-S13|2026-08-11T08:30:00|2026-08-11T11:45:00|20000.0
TX-2026-025|61A44444|CAR|F3-S11|2026-08-11T13:00:00|2026-08-11T17:30:00|15000.0
TX-2026-026|98A55555|MOTORBIKE|F3-S12|2026-08-11T18:00:00|2026-08-11T21:00:00|10000.0
TX-2026-027|37A66666|CAR|F1-S4|2026-08-12T06:30:00|2026-08-12T09:45:00|15000.0
TX-2026-028|75A77777|EV|F2-S4|2026-08-12T10:00:00|2026-08-12T14:15:00|20000.0
TX-2026-029|86A88888|MOTORBIKE|F3-S13|2026-08-12T15:30:00|2026-08-12T19:00:00|10000.0
TX-2026-030|65A99999|CAR|F2-S14|2026-08-13T07:45:00|2026-08-13T11:15:00|15000.0
TX-2026-031|29B12311|MOTORBIKE|F1-S7|2026-08-13T12:00:00|2026-08-13T15:30:00|10000.0
TX-2026-032|51G23422|EV|F2-S15|2026-08-13T16:00:00|2026-08-13T20:00:00|20000.0
TX-2026-033|43B34533|CAR|F3-S14|2026-08-14T08:00:00|2026-08-14T12:00:00|15000.0
TX-2026-034|60B45644|MOTORBIKE|F1-S10|2026-08-14T13:15:00|2026-08-14T16:45:00|10000.0
TX-2026-035|91G56755|EV|F2-S16|2026-08-14T17:30:00|2026-08-14T21:00:00|20000.0
TX-2026-036|33C67866|CAR|F3-S15|2026-08-15T09:00:00|2026-08-15T13:30:00|15000.0
TX-2026-037|44E78977|MOTORBIKE|F2-S17|2026-08-15T14:00:00|2026-08-15T18:00:00|10000.0
TX-2026-038|88A89088|EV|F3-S16|2026-08-15T18:30:00|2026-08-15T22:15:00|20000.0
TX-2026-039|30G90199|CAR|F1-S2|2026-08-16T07:10:00|2026-08-16T11:00:00|15000.0
TX-2026-040|51K11200|MOTORBIKE|F2-S18|2026-08-16T11:30:00|2026-08-16T14:45:00|10000.0
TX-2026-041|29C22311|EV|F3-S17|2026-08-16T15:15:00|2026-08-16T19:30:00|20000.0
TX-2026-042|51F33422|CAR|F2-S19|2026-08-17T08:20:00|2026-08-17T12:50:00|15000.0
TX-2026-043|60D44533|MOTORBIKE|F3-S18|2026-08-17T13:00:00|2026-08-17T16:15:00|10000.0
TX-2026-044|78C55644|EV|F1-S6|2026-08-17T17:00:00|2026-08-17T20:40:00|20000.0
TX-2026-045|91H66755|CAR|F2-S20|2026-08-18T09:00:00|2026-08-18T13:10:00|15000.0
TX-2026-046|33D77866|MOTORBIKE|F3-S19|2026-08-18T14:10:00|2026-08-18T17:30:00|10000.0
TX-2026-047|44F88977|EV|F1-S1|2026-08-18T18:00:00|2026-08-18T22:00:00|20000.0
TX-2026-048|88B99088|CAR|F3-S20|2026-08-19T07:30:00|2026-08-19T11:45:00|15000.0
TX-2026-049|30H12399|MOTORBIKE|F2-S8|2026-08-19T12:15:00|2026-08-19T15:30:00|10000.0
TX-2026-050|51F45600|EV|F2-S9|2026-08-19T16:00:00|2026-08-19T20:15:00|20000.0
TICK-ACT-0001|51H99999|CAR|F1-S1|2026-08-10T15:00|2026-08-11T00:43:10.825181|150000.0
TICK-A44F4DB4|3ERTRYGHJH|MOTORBIKE|F1-S1|2026-08-11T00:44:43.732250|2026-08-11T00:46:01.852135100|10000.0
TICK-ACT-0005|78B12345|BUS|F1-S5|2026-08-10T15:04|2026-08-11T00:46:46.306609700|100000.0
TICK-ACT-0002|29X12345|MOTORBIKE|F1-S2|2026-08-10T15:01|2026-08-11T00:51:58.375156100|100000.0
TICK-D95DDD18|50XX12356|CAR|F1-S11|2026-08-11T14:29:46.390992400|2026-08-11T14:31:11.024330800|20000.0
